Country,GDP,Population,GDP_per_Capita
United States of America,25462700,340418775.0,74798.16587672052
China,17963171,1439323774.0,12480.285064755693
Japan,4231141,1.0,4231141000000.0
Germany,4072192,1.0,4072192000000.0
India,3385090,1380004385.0,2452.95597375946
United Kingdom,3070668,67789028.0,45297.41892744059
France,2782905,1.0,2782905000000.0
Russia,2240422,144332029.0,15522.69455035514
Canada,2139840,340418775.0,6285.904765387867
Italy,2010432,1.0,2010432000000.0
Brazil,1920096,212559409.0,9033.220448971046
Australia,1675419,26499450.0,63224.67070071265
"Korea, Rep.",1665246,,inf
Mexico,1414187,128932753.0,10968.407693892956
Spain,1397509,1.0,1397509000000.0
Indonesia,1319100,273523621.0,4822.618226452918
Saudi Arabia,1108149,34813867.0,31830.678275412494
Netherlands,991115,1.0,991115000000.0
Türkiye,905988,,inf
Switzerland,807706,1.0,807706000000.0
Poland,688177,1.0,688177000000.0
Argentina,632770,45195777.0,14000.644352236715
Sweden,585939,1.0,585939000000.0
Norway,579267,1.0,579267000000.0
Belgium,578604,1.0,578604000000.0
Cuba,545218,1.0,545218000000.0
Ireland,529245,1.0,529245000000.0
Israel,522033,1.0,522033000000.0
United Arab Emirates,507535,9890400.0,51315.922510717464
Thailand,495341,69799978.0,7096.578167975927
Nigeria,477386,206139587.0,2315.838539057517
"Egypt, Arab Rep.",476748,,inf
Austria,471400,1.0,471400000000.0
Singapore,466789,,inf
Bangladesh,460201,164689383.0,2794.35742375694
Vietnam,408802,1.0,408802000000.0
Malaysia,406306,32365998.0,12553.482824784207
South Africa,405870,59308690.0,6843.347914108371
Philippines,404284,109581085.0,3689.3593451826105
Denmark,395404,1.0,395404000000.0
"Iran, Islamic Rep.",388544,,inf
Pakistan,376533,220892331.0,1704.5996947716578
"Hong Kong SAR, China",359839,,inf
Colombia,343939,50882884.0,6759.42424961604
Romania,301262,1.0,301262000000.0
Chile,301025,1.0,301025000000.0
Czech Republic,290924,,inf
Finland,280826,1.0,280826000000.0
Iraq,264182,40222503.0,6568.014924382006
Portugal,251945,1.0,251945000000.0
New Zealand,247234,1.0,247234000000.0
Peru,242632,32971846.0,7358.762988277938
