Country,GDP,Population,GDP_Per_Capita,Region,Life_Expectancy
United States of America,25462700,332000000.0,76694,Americas,76.0
China,17963171,1400000000.0,12830,Western Pacific,76.0
Japan,4231141,126000000.0,33580,Western Pacific,84.0
Germany,4072192,83000000.0,49062,Europe,81.0
India,3385090,1400000000.0,2417,South-East Asia,69.0
United Kingdom,3070668,68000000.0,45156,Europe,81.0
France,2782905,67000000.0,41535,Europe,82.0
Russia,2240422,146000000.0,15345,Europe,73.0
Canada,2139840,38000000.0,56311,Americas,82.0
Italy,2010432,60000000.0,33507,Europe,83.0
Brazil,1920096,213000000.0,9014,Americas,75.0
Australia,1675419,26000000.0,64439,Western Pacific,83.0
"Korea, Rep.",1665246,,0,Western Pacific,83.0
Mexico,1414187,130000000.0,10878,Americas,75.0
Spain,1397509,47000000.0,29734,Europe,83.0
Indonesia,1319100,276000000.0,4779,South-East Asia,71.0
Saudi Arabia,1108149,35000000.0,31661,Eastern Mediterranean,75.0
Netherlands,991115,17000000.0,58300,Europe,82.0
Türkiye,905988,,0,Europe,77.0
Switzerland,807706,8600000.0,93919,Europe,83.0
Poland,688177,38000000.0,18109,Europe,78.0
Argentina,632770,45000000.0,14061,Americas,76.0
Sweden,585939,10000000.0,58593,Europe,83.0
Norway,579267,5400000.0,107271,Europe,83.0
Belgium,578604,11600000.0,49879,Europe,81.0
Cuba,545218,11000000.0,49565,Americas,79.0
Ireland,529245,5000000.0,105849,Europe,82.0
Israel,522033,9200000.0,56742,Eastern Mediterranean,83.0
United Arab Emirates,507535,10000000.0,50753,Eastern Mediterranean,77.0
Thailand,495341,70000000.0,7076,South-East Asia,75.0
Nigeria,477386,211000000.0,2262,Africa,54.0
"Egypt, Arab Rep.",476748,,0,Eastern Mediterranean,71.0
Austria,471400,9000000.0,52377,Europe,81.0
Singapore,466789,5800000.0,80480,South-East Asia,83.0
Bangladesh,460201,166000000.0,2772,South-East Asia,72.0
Vietnam,408802,98000000.0,4171,Western Pacific,75.0
Malaysia,406306,32000000.0,12697,South-East Asia,76.0
South Africa,405870,60000000.0,6764,Africa,63.0
Philippines,404284,113000000.0,3577,Western Pacific,69.0
Denmark,395404,5800000.0,68173,Europe,81.0
"Iran, Islamic Rep.",388544,,0,Eastern Mediterranean,76.0
Pakistan,376533,225000000.0,1673,Eastern Mediterranean,67.0
"Hong Kong SAR, China",359839,,0,Western Pacific,85.0
Colombia,343939,51000000.0,6743,Americas,77.0
Romania,301262,19000000.0,15855,Europe,76.0
Chile,301025,19000000.0,15843,Americas,80.0
Czech Republic,290924,11000000.0,26447,Europe,79.0
Finland,280826,5500000.0,51059,Europe,82.0
Iraq,264182,41000000.0,6443,Eastern Mediterranean,70.0
Portugal,251945,10000000.0,25194,Europe,82.0
New Zealand,247234,5000000.0,49446,Western Pacific,82.0
Peru,242632,33000000.0,7352,Americas,76.0
Qatar,237296,2800000.0,84748,Eastern Mediterranean,80.0
Kazakhstan,220623,19000000.0,11611,Europe,73.0
Greece,219066,10000000.0,21906,Europe,82.0
Algeria,191913,44000000.0,4361,Africa,76.0
Kuwait,184558,4200000.0,43942,Eastern Mediterranean,75.0
Hungary,178789,9700000.0,18431,Europe,76.0
Ukraine,160503,41000000.0,3914,Europe,73.0
Morocco,134182,37000000.0,3626,Africa,76.0
Ethiopia,126783,117000000.0,1083,Africa,66.0
Slovak Republic,115469,,0,Europe,78.0
Ecuador,115049,17000000.0,6767,Americas,76.0
Oman,114667,5100000.0,22483,Eastern Mediterranean,77.0
Dominican Republic,113642,11000000.0,10331,Americas,74.0
Puerto Rico,113435,3000000.0,37811,Americas,81.0
Kenya,113420,54000000.0,2100,Africa,66.0
Angola,106714,33000000.0,3233,Africa,61.0
Guatemala,95003,18000000.0,5277,Americas,74.0
Bulgaria,89040,7000000.0,12720,Europe,75.0
Uzbekistan,80392,34000000.0,2364,Europe,71.0
Azerbaijan,78721,10000000.0,7872,Europe,73.0
Panama,76523,4300000.0,17796,Americas,78.0
Tanzania,75709,61000000.0,1241,Africa,65.0
Sri Lanka,74404,22000000.0,3382,South-East Asia,77.0
Ghana,72839,31000000.0,2349,Africa,63.0
Belarus,72793,9400000.0,7743,Europe,74.0
Uruguay,71177,3500000.0,20336,Americas,77.0
Croatia,70965,4000000.0,17741,Europe,78.0
