Country,GDP,Population,GDP_per_Capita
United States of America,25462700,332000000.0,76694
China,17963171,1400000000.0,12830
Japan,4231141,126000000.0,33580
Germany,4072192,83000000.0,49062
India,3385090,1400000000.0,2417
United Kingdom,3070668,68000000.0,45156
France,2782905,67000000.0,41535
Russia,2240422,146000000.0,15345
Canada,2139840,38000000.0,56311
Italy,2010432,60000000.0,33507
Brazil,1920096,213000000.0,9014
Australia,1675419,26000000.0,64439
"Korea, Rep.",1665246,,0
Mexico,1414187,130000000.0,10878
Spain,1397509,47000000.0,29734
Indonesia,1319100,276000000.0,4779
Saudi Arabia,1108149,35000000.0,31661
Netherlands,991115,17000000.0,58300
Türkiye,905988,,0
Switzerland,807706,8600000.0,93919
Poland,688177,38000000.0,18109
Argentina,632770,45000000.0,14061
Sweden,585939,10000000.0,58593
Norway,579267,5400000.0,107271
Belgium,578604,11600000.0,49879
Cuba,545218,11000000.0,49565
Ireland,529245,5000000.0,105849
Israel,522033,9200000.0,56742
United Arab Emirates,507535,10000000.0,50753
Thailand,495341,70000000.0,7076
Nigeria,477386,211000000.0,2262
"Egypt, Arab Rep.",476748,,0
Austria,471400,9000000.0,52377
Singapore,466789,5800000.0,80480
Bangladesh,460201,166000000.0,2772
Vietnam,408802,98000000.0,4171
Malaysia,406306,32000000.0,12697
South Africa,405870,60000000.0,6764
Philippines,404284,113000000.0,3577
Denmark,395404,5800000.0,68173
"Iran, Islamic Rep.",388544,,0
Pakistan,376533,225000000.0,1673
"Hong Kong SAR, China",359839,,0
Colombia,343939,51000000.0,6743
Romania,301262,19000000.0,15855
Chile,301025,19000000.0,15843
Czech Republic,290924,11000000.0,26447
Finland,280826,5500000.0,51059
Iraq,264182,41000000.0,6443
Portugal,251945,10000000.0,25194
New Zealand,247234,5000000.0,49446
Peru,242632,33000000.0,7352
Qatar,237296,2800000.0,84748
Kazakhstan,220623,19000000.0,11611
Greece,219066,10000000.0,21906
Algeria,191913,44000000.0,4361
Kuwait,184558,4200000.0,43942
Hungary,178789,9700000.0,18431
Ukraine,160503,41000000.0,3914
Morocco,134182,37000000.0,3626
Ethiopia,126783,117000000.0,1083
Slovak Republic,115469,,0
Ecuador,115049,17000000.0,6767
Oman,114667,5100000.0,22483
Dominican Republic,113642,11000000.0,10331
Puerto Rico,113435,3000000.0,37811
Kenya,113420,54000000.0,2100
Angola,106714,33000000.0,3233
Guatemala,95003,18000000.0,5277
Bulgaria,89040,7000000.0,12720
Luxembourg,82275,630000.0,130595
Uzbekistan,80392,34000000.0,2364
Azerbaijan,78721,10000000.0,7872
Panama,76523,4300000.0,17796
Tanzania,75709,61000000.0,1241
Sri Lanka,74404,22000000.0,3382
Ghana,72839,31000000.0,2349
Belarus,72793,9400000.0,7743
Uruguay,71177,3500000.0,20336
Croatia,70965,4000000.0,17741
Lithuania,70334,2700000.0,26049
Côte d'Ivoire,70019,,0
Costa Rica,68381,5100000.0,13408
Serbia,63502,7000000.0,9071
Slovenia,62118,2100000.0,29580
Myanmar,59364,54000000.0,1099
"Congo, Dem. Rep.",58066,,0
Sudan,51662,44000000.0,1174
Jordan,47451,10000000.0,4745
Tunisia,46665,12000000.0,3888
Libya,45752,7000000.0,6536
Turkmenistan,45611,6000000.0,7601
Uganda,45559,46000000.0,990
Bahrain,44391,1700000.0,26112
Cameroon,44342,27000000.0,1642
Bolivia,43069,12000000.0,3589
Paraguay,41722,7200000.0,5794
Latvia,41154,1900000.0,21660
Nepal,40828,30000000.0,1360
Estonia,38101,1300000.0,29308
El Salvador,32489,6500000.0,4998
Honduras,31718,10000000.0,3171
Papua New Guinea,30633,9000000.0,3403
Cambodia,29957,17000000.0,1762
Zambia,29784,19000000.0,1567
Cyprus,28439,1200000.0,23699
Trinidad and Tobago,27899,1400000.0,19927
Iceland,27842,360000.0,77338
Senegal,27684,17000000.0,1628
Georgia,24605,3700000.0,6650
Bosnia and Herzegovina,24528,3300000.0,7432
Lebanon,23132,7000000.0,3304
"Macao SAR, China",21979,,0
Guinea,21228,13000000.0,1632
Gabon,21072,2200000.0,9578
Gabon,21072,2200000.0,9578
Zimbabwe,20678,15000000.0,1378
Botswana,20352,2400000.0,8480
Haiti,20254,12000000.0,1687
Armenia,19503,3000000.0,6501
West Bank and Gaza,19112,5000000.0,3822
Burkina Faso,18885,21000000.0,899
Albania,18882,2800000.0,6743
Mali,18827,20000000.0,941
Mozambique,17851,31000000.0,575
Malta,17765,500000.0,35530
Benin,17402,12000000.0,1450
Jamaica,17098,3000000.0,5699
Mongolia,16811,3300000.0,5094
Brunei Darussalam,16682,440000.0,37913
Lao PDR,15724,7300000.0,2153
Nicaragua,15672,6700000.0,2339
Guyana,15358,790000.0,19440
Madagascar,14955,28000000.0,534
"Congo, Rep.",14616,,0
Afghanistan,14583,39000000.0,373
Moldova,14421,2700000.0,5341
Niger,13970,24000000.0,582
North Macedonia,13563,2100000.0,6458
Rwanda,13313,13000000.0,1024
Malawi,13165,19000000.0,692
Mauritius,12898,1300000.0,9921
"Bahamas, The",12897,,0
Chad,12704,16000000.0,794
Namibia,12607,2500000.0,5042
Equatorial Guinea,11814,1400000.0,8438
Channel Islands,11736,170000.0,69035
Syrian Arab Republic,11159,18000000.0,619
Kyrgyz Republic,10931,6500000.0,1681
Tajikistan,10492,9500000.0,1104
Mauritania,10375,4600000.0,2255
New Caledonia,10071,290000.0,34727
Kosovo,9429,1800000.0,5238
Monaco,8596,39000.0,220410
Togo,8126,8300000.0,979
Somalia,8126,16000000.0,507
Bermuda,7551,64000.0,117984
Liechtenstein,7186,38000.0,189105
Isle of Man,6684,85000.0,78635
Maldives,6190,540000.0,11462
Guam,6123,170000.0,36017
Montenegro,6096,620000.0,9832
French Polynesia,6080,280000.0,21714
Cayman Islands,6028,65000.0,92738
Barbados,5638,290000.0,19441
Fiji,4943,900000.0,5492
Eswatini,4854,1400000.0,3467
Virgin Islands (U.S.),4204,,0
Liberia,4001,5000000.0,800
Sierra Leone,3970,8000000.0,496
Faroe Islands,3650,49000.0,74489
Suriname,3621,590000.0,6137
Djibouti,3515,1000000.0,3515
Andorra,3352,77000.0,43532
Greenland,3236,56000.0,57785
Timor-Leste,3163,1300000.0,2433
Aruba,3126,110000.0,28418
