Region,Development Status,Count,Total_Count,Percentage
Africa,Developing,89,89,100.0
Americas,Developed,12,45,26.666666666666668
Americas,Developing,33,45,73.33333333333333
Eastern Mediterranean,Developed,1,22,4.545454545454546
Eastern Mediterranean,Developing,21,22,95.45454545454545
Europe,Developed,37,64,57.8125
Europe,Developing,27,64,42.1875
South-East Asia,Developed,1,13,7.6923076923076925
South-East Asia,Developing,12,13,92.3076923076923
Western Pacific,Developed,14,33,42.42424242424242
Western Pacific,Developing,19,33,57.57575757575758
